I_s_vec,I_d_vec,I_s_mc_vec,I_d_mc_vec
0,0,0,0
0.16666666666666666,2.5,1.25,2.5
0.3333333333333333,5,2.5,5
0.5,,3.75,
0.6666666666666666,,5,
0.8333333333333333,,,
1,,,
1.1666666666666665,,,
1.3333333333333333,,,
1.5,,,
1.6666666666666665,,,
1.8333333333333333,,,
2,,,
2.1666666666666665,,,
2.333333333333333,,,
2.5,,,
2.6666666666666665,,,
2.833333333333333,,,
3,,,
3.1666666666666665,,,
3.333333333333333,,,
3.5,,,
3.6666666666666665,,,
3.833333333333333,,,
4,,,
4.166666666666666,,,
4.333333333333333,,,
4.5,,,
4.666666666666666,,,
4.833333333333333,,,
5,,,
