x,h
0.0,5.001708054816336
0.1,4.525903692389482
0.2,4.09539609532483
0.30000000000000004,3.7058765988923486
0.4,3.353446761049723
0.5,3.0345793455240635
0.6000000000000001,2.7460830200457496
0.7000000000000001,2.485070416422431
0.8,2.2489292327876798
0.9,2.035296088805887
1.0,1.8420328721675028
1.1,1.6672053396423998
1.2000000000000002,1.509063758523504
1.3,1.3660253947137575
1.4000000000000001,1.2366586721912967
1.5,1.1196688453154602
1.6,1.0138850405772362
1.7000000000000002,0.9182485381036396
1.8,0.8318021756333762
1.9000000000000001,0.7536807689152177
2.0,0.6831024526532175
2.1,0.6193608553360335
2.2,0.5618180296334253
2.3000000000000003,0.5098980676049492
2.4000000000000004,0.46308133681972236
2.5,0.4208992797004001
2.6,0.3829297240414524
2.7,0.3487926577678367
2.8000000000000003,0.3181464256464223
2.9000000000000004,0.2906843098855837
3.0,0.26613146040045066
3.1,0.2442421440208782
3.2,0.22479728511128627
3.3000000000000003,0.2076022729880648
3.4000000000000004,0.19248501419044164
3.5,0.17929421011128385
3.6,0.16789784274978486
3.7,0.15818185343093955
3.8000000000000003,0.15004900126798804
3.9000000000000004,0.14341788994293753
4.0,0.13822215306485344
4.1000000000000005,0.13440978995271238
4.2,0.13194264519510862
4.3,0.1307960267780721
4.4,0.13095845895909322
4.5,0.13243156741403508
4.6000000000000005,0.13523009550744364
4.7,0.13938205184909533
4.800000000000001,0.1449289906135783
4.9,0.15192642742843787
5.0,0.16044439499323696
5.1000000000000005,0.17056814399035192
5.2,0.18239899630245524
5.300000000000001,0.19605535907597343
5.4,0.21167390977960565
5.5,0.2294109641183702
5.6000000000000005,0.24944404049371943
5.7,0.27197363666736685
5.800000000000001,0.2972252364102779
5.9,0.32545156622003446
6.0,0.35693512469257016
6.1000000000000005,0.39199100986306784
6.2,0.43097007281300315
6.300000000000001,0.47426242910569505
6.4,0.5223013631939838
6.5,0.5755676648766685
6.6000000000000005,0.6345944412044122
6.7,0.6999724519942868
6.800000000000001,0.7723560223525865
6.9,0.8524695913804144
7.0,0.9411149626037019
7.1000000000000005,1.0391793286923903
7.2,1.147644150782866
7.300000000000001,1.2675949812708978
7.4,1.400232328384874
7.5,1.546883671275664
7.6000000000000005,1.7090167458741394
7.7,1.8882542344856865
7.800000000000001,2.086390006140134
7.9,2.305407070235928
8.0,2.547497423164719
8.1,2.3142502364487774
8.200000000000001,2.104164843945577
8.3,1.9151386404348159
8.4,1.7452797881378528
8.5,1.5928882825693673
8.6,1.4564389383210772
8.700000000000001,1.3345661244935345
8.8,1.2260500970030903
8.9,1.1298047909731213
9.0,1.0448669510317157
9.1,0.9703864907281454
9.200000000000001,0.9056179845819443
9.3,0.8499132076141568
9.4,0.8027146476938658
9.5,0.7635499257694054
9.600000000000001,0.7320270681400377
9.700000000000001,0.70783058345141
9.8,0.6907183051520391
9.9,0.6805189678090696
10.0,0.677130493026257
