Control_current,Control_firing_rate,Control_cv,Control_firing_rate_error,Control_cv_error
0,,,,
50,1.5632015877815852,2.7056701714558904,0.40145738718872087,0.2641315061265063
100,4.18992259353638,1.7466133938133148,0.33459241225688946,0.0834290558083055
0,,,,
85,0.716057225247564,2.112519549931624,0.23007905753264157,0.2884588860746298
132,1.767187438996073,2.1894126243210836,0.2854988664242539,0.15928561873764172
0,,,,
50,1.8520639202396658,3.1051798776448827,0.6272802776928741,0.34697065679259353
100,2.781522321062663,2.1334600532430215,0.344579126138414,0.14177641485199602
0,,,,
60,2.891696595047623,2.490659404117157,0.3971281098354643,0.1491387148923567
0,,,,
100,2.407240912130138,1.2451560756681679,0.18217949961940186,0.06395865756329923
